CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit,AvgIncome,Measurement_Type,Measurement_Value
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,12691.0,35.59700427960057,MonthsOnBookCategory,high
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,8256.0,35.8817747823645,MonthsOnBookCategory,high
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,3418.0,36.074267100977195,MonthsOnBookCategory,high
769911858,Existing Customer,40,F,4,High School,Not specified,Less than $40K,Blue,34,3313.0,35.8817747823645,MonthsOnBookCategory,high
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,4716.0,35.59700427960057,MonthsOnBookCategory,medium
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,4010.0,35.8731843575419,MonthsOnBookCategory,high
810347208,Existing Customer,51,M,4,Not specified,Married,$120K +,Gold,46,34516.0,36.89133425034388,MonthsOnBookCategory,high
818906208,Existing Customer,32,M,0,High School,Not specified,$60K - $80K,Silver,27,29081.0,35.59700427960057,MonthsOnBookCategory,high
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,22352.0,35.59700427960057,MonthsOnBookCategory,high
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,11656.0,36.074267100977195,MonthsOnBookCategory,high
708790833,Existing Customer,42,M,5,Uneducated,Not specified,$120K +,Blue,31,6748.0,36.89133425034388,MonthsOnBookCategory,high
710821833,Existing Customer,65,M,1,Not specified,Married,$40K - $60K,Blue,54,9095.0,35.8731843575419,MonthsOnBookCategory,high
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,11751.0,36.074267100977195,MonthsOnBookCategory,high
816082233,Existing Customer,35,M,3,Graduate,Not specified,$60K - $80K,Blue,30,8547.0,35.59700427960057,MonthsOnBookCategory,high
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,2436.0,35.8817747823645,MonthsOnBookCategory,high
714885258,Existing Customer,44,M,4,Not specified,Not specified,$80K - $120K,Blue,37,4234.0,36.074267100977195,MonthsOnBookCategory,high
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,30367.0,36.074267100977195,MonthsOnBookCategory,high
753327333,Existing Customer,41,M,3,Not specified,Married,$80K - $120K,Blue,34,13535.0,36.074267100977195,MonthsOnBookCategory,high
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,3193.0,35.8731843575419,MonthsOnBookCategory,high
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,14470.0,35.75359712230216,MonthsOnBookCategory,high
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,20979.0,35.59700427960057,MonthsOnBookCategory,high
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,1438.3,35.8817747823645,MonthsOnBookCategory,high
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4470.0,35.8731843575419,MonthsOnBookCategory,high
811604133,Existing Customer,47,F,4,Not specified,Single,Less than $40K,Blue,36,2492.0,35.8817747823645,MonthsOnBookCategory,high
789124683,Existing Customer,54,M,2,Not specified,Married,$80K - $120K,Blue,42,12217.0,36.074267100977195,MonthsOnBookCategory,high
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,7768.0,35.8817747823645,MonthsOnBookCategory,high
720466383,Existing Customer,59,M,1,High School,Not specified,$40K - $60K,Blue,46,14784.0,35.8731843575419,MonthsOnBookCategory,high
804424383,Existing Customer,63,M,1,Not specified,Married,$60K - $80K,Blue,56,10215.0,35.59700427960057,MonthsOnBookCategory,high
718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,10100.0,35.75359712230216,MonthsOnBookCategory,high
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,4785.0,35.8731843575419,MonthsOnBookCategory,high
778348233,Existing Customer,53,M,3,Not specified,Married,$80K - $120K,Blue,33,2753.0,36.074267100977195,MonthsOnBookCategory,high
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2451.0,35.59700427960057,MonthsOnBookCategory,high
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,8923.0,35.59700427960057,MonthsOnBookCategory,high
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,2650.0,35.8817747823645,MonthsOnBookCategory,high
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,12555.0,36.074267100977195,MonthsOnBookCategory,high
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,3520.0,35.8817747823645,MonthsOnBookCategory,high
