Attrition_Flag,Customer_Age,Dependent_count,Months_on_book,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Avg_Utilization_Ratio,Age_Bin,Churn,Attrition_Flag_Churned,Gender_M,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
Existing Customer,45,3,39,1,12691.0,777,1.335,1144,0.061,40-45,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Existing Customer,49,5,44,1,8256.0,864,1.541,1291,0.105,45-50,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Existing Customer,51,3,36,1,3418.0,0,2.594,1887,0.0,50-55,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Existing Customer,40,4,34,4,3313.0,2517,1.405,1171,0.76,35-40,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Existing Customer,40,3,21,1,4716.0,0,2.175,816,0.0,35-40,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Existing Customer,44,2,36,1,4010.0,1247,1.376,1088,0.311,40-45,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Existing Customer,51,4,46,1,34516.0,2264,1.975,1330,0.066,50-55,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Existing Customer,32,0,27,2,29081.0,1396,2.204,1538,0.048,30-35,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Existing Customer,37,3,36,2,22352.0,2517,3.355,1350,0.113,35-40,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Existing Customer,48,2,36,3,11656.0,1677,1.524,1441,0.144,45-50,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Existing Customer,42,5,31,3,6748.0,1467,0.831,1201,0.217,40-45,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Existing Customer,65,1,54,2,9095.0,1587,1.433,1314,0.174,60+,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Existing Customer,56,1,36,6,11751.0,0,3.397,1539,0.0,55-60,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Existing Customer,35,3,30,1,8547.0,1666,1.163,1311,0.195,30-35,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Existing Customer,57,2,48,2,2436.0,680,1.19,1570,0.279,55-60,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,44,4,37,1,4234.0,972,1.707,1348,0.23,40-45,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Existing Customer,48,4,36,2,30367.0,2362,1.708,1671,0.078,45-50,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Existing Customer,41,3,34,4,13535.0,1291,0.653,1028,0.095,40-45,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Existing Customer,61,1,56,2,3193.0,2517,1.831,1336,0.788,60+,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Existing Customer,45,2,37,1,14470.0,1157,0.966,1207,0.08,40-45,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Existing Customer,47,1,42,2,20979.0,1800,0.906,1178,0.086,45-50,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Attrited Customer,62,0,49,3,1438.3,0,1.047,692,0.0,60+,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Existing Customer,41,3,33,2,4470.0,680,1.608,931,0.152,40-45,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Existing Customer,47,4,36,3,2492.0,1560,0.573,1126,0.626,45-50,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Existing Customer,54,2,42,2,12217.0,0,1.075,1110,0.0,50-55,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Existing Customer,41,3,28,1,7768.0,1669,0.797,1051,0.215,40-45,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Existing Customer,59,1,46,1,14784.0,1374,0.921,1197,0.093,55-60,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Existing Customer,63,1,56,3,10215.0,1010,0.843,1904,0.099,60+,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
